mouse.time,,num_distr,,,
1.7760266,,5,,,
1.5773912,,5,,,
1.3750088,,5,,,
1.4420407,,5,,,
1.3507621,,5,,,
2.1289986,,5,,,1.611703905
1.5127444,,5,,,1.669746663
1.1635087,,5,,,
1.6795774,,5,,,
1.9921013,,5,,,
1.6405265,,5,,,
1.4796319,,5,,,
1.4495642,,5,,,
1.847628,,5,,,
1.6334912,,5,,,
1.4078018,,5,,,
1.7701338,,5,,,
1.2211328,,5,,,
1.5266342,,5,,,
1.5444269,,5,,,
1.1938508,,5,,,
2.9118974,,5,,,
1.3767189,,5,,,
1.2426225,,5,,,
1.9463819,,5,,,
1.4953422,,5,,,
2.2266073,,5,,,
1.5278926,,5,,,
1.3291438,,5,,,
1.6128867,,5,,,
1.5149065,,5,,,
2.0107766,,5,,,
1.3139043,,5,,,
1.892399,,5,,,
1.5395066,,5,,,
1.9092409,,5,,,
1.3808722,,5,,,
1.8426729,,5,,,
1.7267846,,5,,,
2.0324469,,5,,,
2.178048,,5,,,
1.3820201,,5,,,
1.3964519,,5,,,
1.6257074,,5,,,
1.5759279,,5,,,
1.2778436,,5,,,
1.0799033,,5,,,
1.0455448,,5,,,
3.2451197,,5,,,
1.4300523,,5,,,
1.4602237,,5,,,
1.4075321,,5,,,
1.4442325,,5,,,
1.1746726,,5,,,
1.5646981,,5,,,
1.4960406,,5,,,
1.1748496,,5,,,
1.3888662,,5,,,
2.1146752,,5,,,
1.5707168,,5,,,
2.0492242,,5,,,
1.3754398,,5,,,
1.8122714,,5,,,
1.4517961,,5,,,
1.790516,,5,,,
1.5461952,,5,,,
1.3462186,,5,,,
1.3307474,,5,,,
2.158403,,5,,,
1.5285852,,5,,,
1.6604769,,5,,,
1.3782635,,5,,,
1.8813858,,5,,,
1.4643813,,5,,,
1.2904616,,5,,,
1.1467347,,5,,,
1.2625779,,5,,,
1.3817986,,5,,,
1.5067243,,5,,,
1.757181,,5,,,
1.7761283,,5,,,
1.5978803,,5,,,
1.7731918,,5,,,
1.5297477,,5,,,
1.4097949,,5,,,
1.56384,,5,,,
1.3932295,,5,,,
1.7037174,,5,,,
2.5306251,,5,,,
1.4312824,,5,,,
1.422629,,5,,,
1.4768823,,5,,,
1.8128433,,5,,,
1.7111282,,5,,,
1.4406369,,5,,,
1.3428377,,5,,,
1.5242337,,5,,,
1.666292,,5,,,
1.2464241,,5,,,
1.6603109,,5,,,
2.6963469,,5,,,
1.9087607,,5,,,
1.4446138,,5,,,
1.3297487,,5,,,
1.6076166,,5,,,
1.3836318,,5,,,
2.0047028,,5,,,
1.4094298,,5,,,
1.8431987,,5,,,
1.9472296,,5,,,
1.9016352,,10,,,
1.3465522,,10,,,
1.6922369,,10,,,
1.249148,,10,,,
1.4826917,,10,,,
1.5809077,,10,,,
1.1383976,,10,,,
1.7616908,,10,,,
1.8436361,,10,,,
1.442179,,10,,,
1.308774,,10,,,
1.5773057,,10,,,
1.2422121,,10,,,
1.6970316,,10,,,
1.4341229,,10,,,
1.3906261,,10,,,
2.0921492,,10,,,
1.3259253,,10,,,
1.2903014,,10,,,
1.3084452,,10,,,
1.2246683,,10,,,
1.5076449,,10,,,
1.6785391,,10,,,
3.2266322,,10,,,
1.5166118,,10,,,
2.0395935,,10,,,
1.5276259,,10,,,
1.6645165,,10,,,
1.7095198,,10,,,
1.3152271,,10,,,
1.8190091,,10,,,
2.9387998,,10,,,
2.932052,,10,,,
5.1556942,,10,,,
1.371426,,10,,,
3.9468605,,10,,,
1.9015236,,10,,,
1.3092874,,10,,,
2.2426969,,10,,,
1.6087164,,10,,,
1.2115151,,10,,,
1.3957218,,10,,,
1.3773394,,10,,,
1.6927534,,10,,,
1.7635023,,10,,,
1.4057616,,10,,,
1.3250739,,10,,,
1.4754528,,10,,,
1.2681254,,10,,,
2.1009755,,10,,,
1.946315,,10,,,
1.3931919,,10,,,
1.3478761,,10,,,
1.4286815,,10,,,
1.7976764,,10,,,
1.4735901,,10,,,
2.1965022,,10,,,
1.4395262,,10,,,
1.9622353,,10,,,
1.4150616,,10,,,
1.6776766,,10,,,
1.711201,,10,,,
1.2185397,,10,,,
1.5945437,,10,,,
2.4812051,,10,,,
1.2203861,,10,,,
1.6185101,,10,,,
2.9616333,,10,,,
1.282925,,10,,,
1.5459542,,10,,,
0.278273,,10,,,
1.3514591,,10,,,
1.1237793,,10,,,
1.0785583,,10,,,
2.6495357,,10,,,
1.1534034,,10,,,
1.2564483,,10,,,
1.5952577,,10,,,
1.7273752,,10,,,
1.4524613,,10,,,
1.7128811,,10,,,
1.2013222,,10,,,
1.458236,,10,,,
1.2128844,,10,,,
2.0242248,,10,,,
1.8300099,,10,,,
1.2632032,,10,,,
1.0636576,,10,,,
1.3438186,,10,,,
2.0283446,,10,,,
,,,,,
1.637823146,,,,,
